uav_id,arrival,assembly_complete,upper_complete,lower_complete,wait_time,approach_start,landing_start,landing_complete
1,3.310568596639017,4.310568596639017,5.310568596639017,6.310568596639017,0.0,6.310568596639017,7.310568596639017,8.310568596639017
2,3.9445764192018866,4.944576419201887,5.944576419201887,6.944576419201887,0.0,6.944576419201887,7.944576419201887,8.944576419201887
3,7.9080651115564775,8.908065111556478,9.908065111556478,10.908065111556478,0.036511307645408664,10.944576419201887,11.944576419201887,12.944576419201887
4,13.154559125179574,14.154559125179574,15.154559125179574,16.154559125179574,0.0,16.154559125179574,17.154559125179574,18.154559125179574
5,16.607630305976215,17.607630305976215,18.607630305976215,19.607630305976215,0.5469288192033588,20.154559125179574,21.154559125179574,22.154559125179574
6,21.564015354339084,22.564015354339084,23.564015354339084,24.564015354339084,0.0,24.564015354339084,25.564015354339084,26.564015354339084
7,27.75734514726284,28.75734514726284,29.75734514726284,30.75734514726284,0.0,30.75734514726284,31.75734514726284,32.75734514726284
8,39.84653675748841,40.84653675748841,41.84653675748841,42.84653675748841,0.0,42.84653675748841,43.84653675748841,44.84653675748841
9,46.092631305341875,47.092631305341875,48.092631305341875,49.092631305341875,0.0,49.092631305341875,50.092631305341875,51.092631305341875
10,48.786983889453765,49.786983889453765,50.786983889453765,51.786983889453765,1.3056474158881102,53.092631305341875,54.092631305341875,55.092631305341875
11,49.10801655082562,50.10801655082562,51.10801655082562,52.10801655082562,0.984614754516258,53.092631305341875,54.092631305341875,55.092631305341875
12,50.289486092561006,51.289486092561006,52.289486092561006,53.289486092561006,2.0,57.092631305341875,58.092631305341875,59.092631305341875
13,55.66024957802517,56.66024957802517,57.66024957802517,58.66024957802517,0.0,58.66024957802517,59.66024957802517,60.66024957802517
14,58.80438617998988,59.80438617998988,60.80438617998988,61.80438617998988,0.8558633980352894,62.66024957802517,63.66024957802517,64.66024957802517
15,66.71964481564655,67.71964481564655,68.71964481564655,69.71964481564655,0.0,69.71964481564655,70.71964481564655,71.71964481564655
16,80.72619493857786,81.72619493857786,82.72619493857786,83.72619493857786,0.0,83.72619493857786,84.72619493857786,85.72619493857786
17,92.92465075680126,93.92465075680126,94.92465075680126,95.92465075680126,0.0,95.92465075680126,96.92465075680126,97.92465075680126
18,94.05249566860732,95.05249566860732,96.05249566860732,97.05249566860732,0.0,97.05249566860732,98.05249566860732,99.05249566860732
19,101.93677717561664,102.93677717561664,103.93677717561664,104.93677717561664,0.0,104.93677717561664,105.93677717561664,106.93677717561664
20,103.91288867542997,104.91288867542997,105.91288867542997,106.91288867542997,0.0,106.91288867542997,107.91288867542997,108.91288867542997
21,111.6001315170985,112.6001315170985,113.6001315170985,114.6001315170985,0.0,114.6001315170985,115.6001315170985,116.6001315170985
